"tv","Name","CAS","SMILES","MW","log10prediction","log10lower95","log10upper95","prediction","lower95","upper95","appl.domain","Source","Warnings"
"CPV","Ammonium Picrate","131-74-8","OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O",246.023648549,5.25746583333334,3.27965733333334,7.30822510000001,0.735341333795119,0.00773892216113224,82.6510252490959,4.51389200319102,"CTV",""
"RfC","Ammonium Picrate","131-74-8","OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O",246.023648549,9.02281416666663,6.6290864833333,11.0416690166666,0.000233433234720827,2.23515599269798e-06,0.0577950137639631,7.18173132829763,"CTV",""
"IUR","Ammonium Picrate","131-74-8","OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O",246.023648549,4.51640033333333,2.131786175,6.38051603333333,0.133482237679952,0.000550565913769495,9.7620084333055,12.508767756956,"CTV",""
"RfD","Benzo[e]pyrene (BeP)","192-97-2","C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34",252.0939003864,8.24373675489671,6.63334849540276,9.74861415198443,0.00143822085775073,4.4972619630073e-05,0.0586426844202393,19.661585246838,"CTV",""
"RfDNOAEL","Benzo[e]pyrene (BeP)","192-97-2","C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34",252.0939003864,5.4038375929459,3.8000509049529,6.84658319785014,0.994774730653626,0.0358904695224432,39.9495077828117,8.44105173658739,"CTV",""
"RfDBMDL","Benzo[e]pyrene (BeP)","192-97-2","C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34",252.0939003864,4.96372408571729,3.1829562345459,6.68098551413734,2.74055329408046,0.0525504964929634,165.426889239183,9.8679896100673,"CTV",""
"RfDBMD","Benzo[e]pyrene (BeP)","192-97-2","C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34",252.0939003864,4.4973009935101,2.4990197570573,6.43521348237433,8.02160632164465,0.0925441253791742,798.992275468888,9.8679896100673,"CTV",""
"OSF","Benzo[e]pyrene (BeP)","192-97-2","C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34",252.0939003864,6.80838149999999,4.81954144888752,8.64210747198426,25.5163859392572,0.261805708117201,1739.98351734715,15.7076813182275,"CTV",""
"CPV","Benzo[e]pyrene (BeP)","192-97-2","C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34",252.0939003864,7.00182949999999,5.02402099999999,9.05258876666666,39.8352147066432,0.419236090395805,4477.40550572566,12.8960457879574,"CTV",""
"RfC","Benzo[e]pyrene (BeP)","192-97-2","C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34",252.0939003864,9.69682266666661,7.30309498333328,11.7156775166666,5.06686894106388e-05,4.85159814170358e-07,0.0125449043508823,11.1646245051168,"CTV",""
"IUR","Benzo[e]pyrene (BeP)","192-97-2","C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34",252.0939003864,5.68431649999999,3.29970234166666,7.54843219999999,1.91758296211018,0.00790933560983879,140.239341001803,13.484426837941,"CTV",""
"RfD","2,3-Benzofluorene","243-17-4","C1C2=CC=CC=C2C2=CC3=CC=CC=C3C=C12",216.0939003864,7.93795459954,6.32756634004605,9.44283199662772,0.00249280271400213,7.79489934841853e-05,0.101642694229706,18.9399064163433,"CTV",""
"RfDNOAEL","2,3-Benzofluorene","243-17-4","C1C2=CC=CC=C2C2=CC3=CC=CC=C3C=C12",216.0939003864,4.96107294402948,3.35728625603648,6.40381854893372,2.36357596123375,0.0852754381335173,94.9196771378908,7.98331995942111,"CTV",""
"RfDBMDL","2,3-Benzofluorene","243-17-4","C1C2=CC=CC=C2C2=CC3=CC=CC=C3C=C12",216.0939003864,4.04676142114333,2.26599356997194,5.76402284956338,19.4035452260452,0.372065720288966,1171.24820520356,9.31437317372482,"CTV",""
"RfDBMD","2,3-Benzofluorene","243-17-4","C1C2=CC=CC=C2C2=CC3=CC=CC=C3C=C12",216.0939003864,3.74850011782053,1.75021888136773,5.68641260668476,38.5604763766521,0.444866703424799,3840.81710420174,9.31437317372482,"CTV",""
