"Chemical","CASRN","DTXSID","INCHIKEY","pod.med_PPRTV","pod.med_CTV","pod.med_Aurisano","pod.med_Kvasnicka","pod.med_von Borries","pod.med_ToxCast","pod.med.lb_PPRTV","pod.med.lb_CTV","pod.med.lb_Aurisano","pod.med.lb_Kvasnicka","pod.med.lb_von Borries","pod.med.lb_ToxCast"
"n-Heptane","142-82-5","DTXSID6024127","IMNFDUFMRHMDMM-UHFFFAOYSA-N",0.468044168522242,16.1117534981811,37.1,40.68594363,29.4714306350215,NA,0.00468044168522242,0.581295825135845,6.69377013374399,2.968333202,3.4385895305741,NA
"Methyl Phosphonic Acid","993-13-5","DTXSID5047748","YACKEPLHDIMKIO-UHFFFAOYSA-N",43.7586105079236,5.05519535158045,55.5,NA,25.4455514683505,NA,1.45862035026412,0.0969340848682922,10.0135914399674,NA,0.239798523610757,NA
"Picramic Acid (2-Amino-4,6-dinitrophenol)","96-91-3","DTXSID5024479","QXYMVUZOGFVPGH-UHFFFAOYSA-N",1.2,NA,0.153,2.002819554,2.99470072920485,0.285614740926277,0.0012,NA,0.0276050358615318,0.14612014,0.179652066817604,0.0478365983470099
"n-Propylbenzene","103-65-1","DTXSID3042219","ODLMAHJVESYWTB-UHFFFAOYSA-N",23.7372127392144,13.4390645977413,56,28.23501785,33.7123166266247,NA,2.37372127392144,0.484867903749882,10.1038039754626,2.059948313,3.90756934144919,NA
"1,2-Dinitrobenzene","528-29-0","DTXSID4024066","IZUKQUVSCNEFMJ-UHFFFAOYSA-N",0.0977846044869802,NA,0.127,13.87591306,0.330967209172741,3.34434884805266,0.00325948681623267,NA,0.0229139840157813,1.53662284,0.0754653906013694,0.324935189305837
"1,4-Dinitrobenzene","100-25-4","DTXSID0021836","FYFDQJRXFWGIBS-UHFFFAOYSA-N",0.0977846044869802,NA,0.132,15.86334673,0.628326552074213,NA,0.00325948681623267,NA,0.0238161093707333,1.756711851,0.0959750714798852,NA
"Thiocyanic Acid","463-56-9","DTXSID7047221","ZMZDMBWJUHKJPS-UHFFFAOYSA-N",0.018,1.00484946443775,0.099,6.478624735,1.20482296074988,NA,2e-04,0.019268130406714,0.00946036403155153,0.472662428,0.0284599850116076,NA
"Methyl Acetate","79-20-9","DTXSID4021767","KXKVLQRXCPHEJC-UHFFFAOYSA-N",282.597506967373,9.5649140279626,334,52.26573045,63.268518402474,NA,28.2597506967373,0.18340857744589,60.2619737107949,3.813162217,1.97444846785938,NA
"Endosulfan Sulfate","1031-07-8","DTXSID3037541","AAPVQEMYVNZIOO-UHFFFAOYNA-N",0.14667690673047,0.071220667233494,0.106,0.32719595,0.416574097020202,0.0583101320617236,0.14667690673047,0.00207437708663319,0.0120583830844723,0.023871306,0.0269674797045904,0.00382326819733879
"Guanidine","113-00-8","DTXSID0023117","ZRALSGWEFCBTJO-UHFFFAOYSA-N",1.2366795770962,2.01256948208359,NA,11.35778351,19.996101623401,NA,0.12366795770962,0.0385913040766335,NA,0.828632271,0.1745039563777,NA
